"jurisdiccion_de_residencia_id","jurisdiccion_de_residencia_nombre","tipo_de_parto_id","tipo_de_parto_nombre","sexo","sexo_nombre","edad_de_la_madre_grupos_id","edad_de_la_madre_grupos_nombre","semanas_de_gestacion_id","semanas_de_gestacion_nombre","instruccion_de_la_madre_id","instruccion_de_la_madre_nombre","Intervalos_de_peso_al_nacer_id","intervalos_de_peso_al_nacer_nombre","cantidad_nacimientos"
6,"Buenos Aires",2,"Múltiple",1,"Varón",4,"25 a 29",5,"32 a 36",7,"Terciaria/Universitaria Comple",7,"3000 a 3499",1
74,"San Luis",1,"Simple",1,"Varón",2,"15 a 19",6,"37 a 41",4,"Secundaria/Polimodal Incomplet",7,"3000 a 3499",98
54,"Misiones",1,"Simple",2,"Mujer",2,"15 a 19",6,"37 a 41",2,"Primaria/C. EGB Incompleta",6,"2500 a 2999",72
18,"Corrientes",2,"Múltiple",1,"Varón",5,"30 a 34",4,"28 a 31",5,"Secundaria/Polimodal Completa",3,"1000 a 1499",1
2,"Ciudad Aut. de Buenos Aires",1,"Simple",2,"Mujer",5,"30 a 34",5,"32 a 36",8,"Sin especificar",4,"1500 a 1999",1
2,"Ciudad Aut. de Buenos Aires",1,"Simple",1,"Varón",5,"30 a 34",4,"28 a 31",5,"Secundaria/Polimodal Completa",3,"1000 a 1499",7
54,"Misiones",1,"Simple",2,"Mujer",3,"20 a 24",7,"42 y más",3,"Primaria/C. EGB Completa",6,"2500 a 2999",2
6,"Buenos Aires",1,"Simple",1,"Varón",9,"Sin especificar",6,"37 a 41",5,"Secundaria/Polimodal Completa",8,"De 3500 y más",420
82,"Santa Fe",1,"Simple",1,"Varón",7,"40 a 44",3,"24 a 27",7,"Terciaria/Universitaria Comple",3,"1000 a 1499",1
62,"Río Negro",1,"Simple",2,"Mujer",3,"20 a 24",6,"37 a 41",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",58
99,"Lugar no especificado",1,"Simple",2,"Mujer",8,"De 45 y más",6,"37 a 41",5,"Secundaria/Polimodal Completa",8,"De 3500 y más",1
54,"Misiones",1,"Simple",1,"Varón",3,"20 a 24",5,"32 a 36",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",18
74,"San Luis",1,"Simple",2,"Mujer",4,"25 a 29",3,"24 a 27",4,"Secundaria/Polimodal Incomplet",3,"1000 a 1499",1
94,"Tierra del Fuego",2,"Múltiple",2,"Mujer",3,"20 a 24",5,"32 a 36",5,"Secundaria/Polimodal Completa",4,"1500 a 1999",1
6,"Buenos Aires",1,"Simple",1,"Varón",7,"40 a 44",8,"Sin especificar",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",2
10,"Catamarca",1,"Simple",1,"Varón",4,"25 a 29",6,"37 a 41",3,"Primaria/C. EGB Completa",6,"2500 a 2999",13
2,"Ciudad Aut. de Buenos Aires",1,"Simple",1,"Varón",3,"20 a 24",6,"37 a 41",6,"Terciaria/Universitaria Incomp",8,"De 3500 y más",67
66,"Salta",1,"Simple",1,"Varón",6,"35 a 39",8,"Sin especificar",6,"Terciaria/Universitaria Incomp",8,"De 3500 y más",2
66,"Salta",1,"Simple",2,"Mujer",3,"20 a 24",7,"42 y más",4,"Secundaria/Polimodal Incomplet",7,"3000 a 3499",2
50,"Mendoza",2,"Múltiple",2,"Mujer",3,"20 a 24",6,"37 a 41",2,"Primaria/C. EGB Incompleta",5,"2000 a 2499",1
82,"Santa Fe",1,"Simple",1,"Varón",5,"30 a 34",6,"37 a 41",3,"Primaria/C. EGB Completa",5,"2000 a 2499",8
82,"Santa Fe",1,"Simple",1,"Varón",7,"40 a 44",6,"37 a 41",5,"Secundaria/Polimodal Completa",8,"De 3500 y más",86
6,"Buenos Aires",1,"Simple",2,"Mujer",7,"40 a 44",8,"Sin especificar",6,"Terciaria/Universitaria Incomp",6,"2500 a 2999",1
86,"Santiago del Estero",1,"Simple",1,"Varón",5,"30 a 34",6,"37 a 41",3,"Primaria/C. EGB Completa",6,"2500 a 2999",29
18,"Corrientes",1,"Simple",1,"Varón",5,"30 a 34",6,"37 a 41",4,"Secundaria/Polimodal Incomplet",7,"3000 a 3499",114
70,"San Juan",2,"Múltiple",2,"Mujer",3,"20 a 24",5,"32 a 36",4,"Secundaria/Polimodal Incomplet",6,"2500 a 2999",2
82,"Santa Fe",1,"Simple",1,"Varón",3,"20 a 24",5,"32 a 36",4,"Secundaria/Polimodal Incomplet",7,"3000 a 3499",33
86,"Santiago del Estero",2,"Múltiple",2,"Mujer",7,"40 a 44",5,"32 a 36",5,"Secundaria/Polimodal Completa",3,"1000 a 1499",1
78,"Santa Cruz",1,"Simple",1,"Varón",2,"15 a 19",6,"37 a 41",3,"Primaria/C. EGB Completa",7,"3000 a 3499",16
34,"Formosa",1,"Simple",2,"Mujer",5,"30 a 34",6,"37 a 41",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",21
2,"Ciudad Aut. de Buenos Aires",1,"Simple",1,"Varón",3,"20 a 24",8,"Sin especificar",3,"Primaria/C. EGB Completa",9,"Sin especificar",7
66,"Salta",1,"Simple",2,"Mujer",5,"30 a 34",6,"37 a 41",2,"Primaria/C. EGB Incompleta",6,"2500 a 2999",18
18,"Corrientes",1,"Simple",1,"Varón",4,"25 a 29",6,"37 a 41",6,"Terciaria/Universitaria Incomp",6,"2500 a 2999",14
14,"Córdoba",1,"Simple",1,"Varón",4,"25 a 29",3,"24 a 27",6,"Terciaria/Universitaria Incomp",2,"500 a 999",3
86,"Santiago del Estero",2,"Múltiple",2,"Mujer",4,"25 a 29",5,"32 a 36",7,"Terciaria/Universitaria Comple",7,"3000 a 3499",1
22,"Chaco",2,"Múltiple",2,"Mujer",2,"15 a 19",5,"32 a 36",6,"Terciaria/Universitaria Incomp",4,"1500 a 1999",1
74,"San Luis",1,"Simple",1,"Varón",5,"30 a 34",6,"37 a 41",6,"Terciaria/Universitaria Incomp",6,"2500 a 2999",7
10,"Catamarca",1,"Simple",1,"Varón",4,"25 a 29",6,"37 a 41",5,"Secundaria/Polimodal Completa",5,"2000 a 2499",8
6,"Buenos Aires",2,"Múltiple",2,"Mujer",5,"30 a 34",6,"37 a 41",3,"Primaria/C. EGB Completa",8,"De 3500 y más",1
26,"Chubut",1,"Simple",1,"Varón",4,"25 a 29",5,"32 a 36",5,"Secundaria/Polimodal Completa",7,"3000 a 3499",3
30,"Entre Ríos",1,"Simple",1,"Varón",4,"25 a 29",6,"37 a 41",8,"Sin especificar",8,"De 3500 y más",12
30,"Entre Ríos",2,"Múltiple",2,"Mujer",3,"20 a 24",5,"32 a 36",5,"Secundaria/Polimodal Completa",6,"2500 a 2999",1
54,"Misiones",1,"Simple",2,"Mujer",5,"30 a 34",5,"32 a 36",3,"Primaria/C. EGB Completa",3,"1000 a 1499",1
54,"Misiones",1,"Simple",2,"Mujer",6,"35 a 39",5,"32 a 36",2,"Primaria/C. EGB Incompleta",3,"1000 a 1499",1
6,"Buenos Aires",1,"Simple",1,"Varón",5,"30 a 34",7,"42 y más",3,"Primaria/C. EGB Completa",7,"3000 a 3499",5
30,"Entre Ríos",1,"Simple",1,"Varón",3,"20 a 24",4,"28 a 31",4,"Secundaria/Polimodal Incomplet",8,"De 3500 y más",1
