mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Santiago del Estero,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",44,56,previaje 3
2022-10,Santiago del Estero,Tucumán,23,62,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Buenos Aires,257,383,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Catamarca,7,11,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Chaco,9,13,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Chubut,47,113,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ciudad Autónoma de Buenos Aires,490,743,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Córdoba,106,159,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Corrientes,15,30,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Entre Ríos,13,20,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Formosa,6,8,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Jujuy,34,57,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Mendoza,47,104,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Misiones,36,70,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Neuquén,13,19,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Negro,15,29,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Salta,35,64,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",San Juan,19,26,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",San Luis,8,16,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Santa Cruz,104,234,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Santa Fe,28,43,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Santiago del Estero,7,11,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",112,261,previaje 3
2022-10,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tucumán,12,25,previaje 3
2022-10,Tucumán,Buenos Aires,763,1256,previaje 3
2022-10,Tucumán,Catamarca,16,25,previaje 3
2022-10,Tucumán,Chaco,7,11,previaje 3
2022-10,Tucumán,Chubut,64,111,previaje 3
2022-10,Tucumán,Ciudad Autónoma de Buenos Aires,1395,2503,previaje 3
2022-10,Tucumán,Córdoba,407,671,previaje 3
2022-10,Tucumán,Corrientes,4,9,previaje 3
2022-10,Tucumán,Entre Ríos,52,66,previaje 3
2022-10,Tucumán,Jujuy,73,145,previaje 3
2022-10,Tucumán,La Rioja,9,17,previaje 3
2022-10,Tucumán,Mendoza,144,222,previaje 3
2022-10,Tucumán,Misiones,206,402,previaje 3
2022-10,Tucumán,Neuquén,30,45,previaje 3
2022-10,Tucumán,Río Negro,180,354,previaje 3
2022-10,Tucumán,Salta,167,352,previaje 3
2022-10,Tucumán,San Juan,16,20,previaje 3
2022-10,Tucumán,San Luis,54,64,previaje 3
2022-10,Tucumán,Santa Cruz,125,235,previaje 3
2022-10,Tucumán,Santa Fe,40,58,previaje 3
2022-10,Tucumán,Santiago del Estero,82,233,previaje 3
2022-10,Tucumán,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",130,196,previaje 3
2022-10,Tucumán,Tucumán,189,445,previaje 3
2022-11,Buenos Aires,Buenos Aires,9529,23041,previaje 3
2022-11,Buenos Aires,Catamarca,622,1322,previaje 3
2022-11,Buenos Aires,Chaco,47,73,previaje 3
2022-11,Buenos Aires,Chubut,2898,6020,previaje 3
2022-11,Buenos Aires,Ciudad Autónoma de Buenos Aires,1649,3264,previaje 3
2022-11,Buenos Aires,Córdoba,4557,9222,previaje 3
2022-11,Buenos Aires,Corrientes,412,958,previaje 3
2022-11,Buenos Aires,Entre Ríos,2791,6327,previaje 3
2022-11,Buenos Aires,Formosa,34,54,previaje 3
2022-11,Buenos Aires,Jujuy,2037,4506,previaje 3
2022-11,Buenos Aires,La Pampa,63,154,previaje 3
2022-11,Buenos Aires,La Rioja,746,1419,previaje 3
2022-11,Buenos Aires,Mendoza,6333,12479,previaje 3
2022-11,Buenos Aires,Misiones,6516,15222,previaje 3
2022-11,Buenos Aires,Neuquén,2716,5863,previaje 3
2022-11,Buenos Aires,Río Negro,6615,14147,previaje 3
2022-11,Buenos Aires,Salta,5049,10439,previaje 3
2022-11,Buenos Aires,San Juan,662,1217,previaje 3
2022-11,Buenos Aires,San Luis,1524,2926,previaje 3
2022-11,Buenos Aires,Santa Cruz,5478,10654,previaje 3
2022-11,Buenos Aires,Santa Fe,327,814,previaje 3
2022-11,Buenos Aires,Santiago del Estero,507,1086,previaje 3
2022-11,Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",4585,8550,previaje 3
2022-11,Buenos Aires,Tucumán,1023,2039,previaje 3
2022-11,Catamarca,Buenos Aires,36,61,previaje 3
2022-11,Catamarca,Catamarca,70,120,previaje 3
2022-11,Catamarca,Chubut,6,10,previaje 3
2022-11,Catamarca,Ciudad Autónoma de Buenos Aires,113,211,previaje 3
2022-11,Catamarca,Córdoba,51,113,previaje 3
2022-11,Catamarca,Entre Ríos,3,8,previaje 3
2022-11,Catamarca,Jujuy,7,16,previaje 3
2022-11,Catamarca,La Rioja,15,25,previaje 3
2022-11,Catamarca,Mendoza,10,15,previaje 3
2022-11,Catamarca,Misiones,16,37,previaje 3
2022-11,Catamarca,Neuquén,3,5,previaje 3
2022-11,Catamarca,Río Negro,10,20,previaje 3
2022-11,Catamarca,Salta,22,48,previaje 3
2022-11,Catamarca,San Juan,3,8,previaje 3
2022-11,Catamarca,San Luis,6,7,previaje 3
2022-11,Catamarca,Santa Cruz,12,23,previaje 3
2022-11,Catamarca,Santa Fe,5,7,previaje 3
2022-11,Catamarca,Santiago del Estero,6,22,previaje 3
2022-11,Catamarca,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",9,15,previaje 3
2022-11,Catamarca,Tucumán,6,9,previaje 3
2022-11,Chaco,Buenos Aires,211,361,previaje 3
2022-11,Chaco,Catamarca,5,11,previaje 3
2022-11,Chaco,Chaco,19,31,previaje 3
2022-11,Chaco,Chubut,44,93,previaje 3
2022-11,Chaco,Ciudad Autónoma de Buenos Aires,332,615,previaje 3
2022-11,Chaco,Córdoba,178,307,previaje 3
2022-11,Chaco,Corrientes,17,35,previaje 3
2022-11,Chaco,Entre Ríos,16,39,previaje 3
2022-11,Chaco,Jujuy,38,57,previaje 3
2022-11,Chaco,La Rioja,9,13,previaje 3
2022-11,Chaco,Mendoza,69,178,previaje 3
2022-11,Chaco,Misiones,91,203,previaje 3
2022-11,Chaco,Neuquén,21,43,previaje 3
2022-11,Chaco,Río Negro,117,220,previaje 3
2022-11,Chaco,Salta,176,290,previaje 3
2022-11,Chaco,San Luis,57,77,previaje 3
2022-11,Chaco,Santa Cruz,71,132,previaje 3
2022-11,Chaco,Santa Fe,10,25,previaje 3
2022-11,Chaco,Santiago del Estero,11,30,previaje 3
2022-11,Chaco,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",59,108,previaje 3
2022-11,Chaco,Tucumán,11,24,previaje 3
2022-11,Chubut,Buenos Aires,308,605,previaje 3
2022-11,Chubut,Catamarca,8,16,previaje 3
2022-11,Chubut,Chaco,5,7,previaje 3
2022-11,Chubut,Chubut,198,457,previaje 3
2022-11,Chubut,Ciudad Autónoma de Buenos Aires,726,1262,previaje 3
2022-11,Chubut,Córdoba,138,248,previaje 3
2022-11,Chubut,Corrientes,5,5,previaje 3
2022-11,Chubut,Entre Ríos,51,102,previaje 3
2022-11,Chubut,Jujuy,28,56,previaje 3
2022-11,Chubut,La Pampa,5,12,previaje 3
2022-11,Chubut,La Rioja,8,13,previaje 3
2022-11,Chubut,Mendoza,70,108,previaje 3
2022-11,Chubut,Misiones,81,167,previaje 3
2022-11,Chubut,Neuquén,63,143,previaje 3
2022-11,Chubut,Río Negro,110,276,previaje 3
2022-11,Chubut,Salta,85,170,previaje 3
2022-11,Chubut,San Juan,6,11,previaje 3
2022-11,Chubut,San Luis,8,15,previaje 3
2022-11,Chubut,Santa Cruz,142,278,previaje 3
2022-11,Chubut,Santa Fe,17,23,previaje 3
2022-11,Chubut,Santiago del Estero,16,31,previaje 3
2022-11,Chubut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",126,180,previaje 3
2022-11,Chubut,Tucumán,18,28,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Buenos Aires,7381,15926,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Catamarca,448,773,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Chaco,76,110,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Chubut,2056,4193,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,616,1160,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Córdoba,2663,4869,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Corrientes,430,779,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Entre Ríos,1625,2996,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Formosa,53,92,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Jujuy,1666,3506,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,La Pampa,45,86,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,La Rioja,386,757,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Mendoza,4436,8636,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Misiones,4032,9474,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Neuquén,2023,3960,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Río Negro,4692,9431,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Salta,3383,6752,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,San Juan,618,1241,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,San Luis,540,1053,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Santa Cruz,3637,6942,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Santa Fe,330,682,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Santiago del Estero,312,577,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2985,5669,previaje 3
2022-11,Ciudad Autónoma de Buenos Aires,Tucumán,745,1395,previaje 3
2022-11,Córdoba,Buenos Aires,2137,4611,previaje 3
2022-11,Córdoba,Catamarca,258,389,previaje 3
2022-11,Córdoba,Chaco,22,33,previaje 3
2022-11,Córdoba,Chubut,812,1403,previaje 3
2022-11,Córdoba,Ciudad Autónoma de Buenos Aires,3465,6730,previaje 3
2022-11,Córdoba,Córdoba,2670,6816,previaje 3
2022-11,Córdoba,Corrientes,145,313,previaje 3
2022-11,Córdoba,Entre Ríos,272,567,previaje 3
2022-11,Córdoba,Formosa,13,13,previaje 3
2022-11,Córdoba,Jujuy,467,908,previaje 3
2022-11,Córdoba,La Pampa,21,37,previaje 3
2022-11,Córdoba,La Rioja,239,523,previaje 3
2022-11,Córdoba,Mendoza,1473,2757,previaje 3
2022-11,Córdoba,Misiones,1732,3477,previaje 3
2022-11,Córdoba,Neuquén,504,1178,previaje 3
2022-11,Córdoba,Río Negro,2138,4184,previaje 3
2022-11,Córdoba,Salta,1202,2193,previaje 3
2022-11,Córdoba,San Juan,93,179,previaje 3
2022-11,Córdoba,San Luis,326,825,previaje 3
2022-11,Córdoba,Santa Cruz,1626,2968,previaje 3
2022-11,Córdoba,Santa Fe,132,277,previaje 3
2022-11,Córdoba,Santiago del Estero,242,613,previaje 3
2022-11,Córdoba,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1244,2102,previaje 3
2022-11,Córdoba,Tucumán,146,286,previaje 3
2022-11,Corrientes,Buenos Aires,156,305,previaje 3
2022-11,Corrientes,Chaco,13,23,previaje 3
2022-11,Corrientes,Chubut,20,43,previaje 3
2022-11,Corrientes,Ciudad Autónoma de Buenos Aires,429,734,previaje 3
2022-11,Corrientes,Córdoba,125,165,previaje 3
2022-11,Corrientes,Corrientes,77,198,previaje 3
2022-11,Corrientes,Entre Ríos,38,90,previaje 3
2022-11,Corrientes,Jujuy,20,33,previaje 3
2022-11,Corrientes,La Rioja,33,40,previaje 3
2022-11,Corrientes,Mendoza,117,172,previaje 3
2022-11,Corrientes,Misiones,100,187,previaje 3
2022-11,Corrientes,Neuquén,27,69,previaje 3
2022-11,Corrientes,Río Negro,84,167,previaje 3
2022-11,Corrientes,Salta,89,158,previaje 3
2022-11,Corrientes,San Juan,22,27,previaje 3
2022-11,Corrientes,San Luis,4,9,previaje 3
2022-11,Corrientes,Santa Cruz,34,98,previaje 3
2022-11,Corrientes,Santa Fe,6,11,previaje 3
2022-11,Corrientes,Santiago del Estero,3,11,previaje 3
2022-11,Corrientes,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",36,48,previaje 3
2022-11,Corrientes,Tucumán,5,12,previaje 3
2022-11,Entre Ríos,Buenos Aires,179,382,previaje 3
2022-11,Entre Ríos,Catamarca,86,149,previaje 3
2022-11,Entre Ríos,Chaco,5,14,previaje 3
2022-11,Entre Ríos,Chubut,236,384,previaje 3
2022-11,Entre Ríos,Ciudad Autónoma de Buenos Aires,244,527,previaje 3
2022-11,Entre Ríos,Córdoba,420,864,previaje 3
2022-11,Entre Ríos,Corrientes,38,111,previaje 3
2022-11,Entre Ríos,Entre Ríos,161,399,previaje 3
2022-11,Entre Ríos,Jujuy,128,268,previaje 3
2022-11,Entre Ríos,La Rioja,120,188,previaje 3
2022-11,Entre Ríos,Mendoza,284,491,previaje 3
2022-11,Entre Ríos,Misiones,242,499,previaje 3
2022-11,Entre Ríos,Neuquén,76,136,previaje 3
2022-11,Entre Ríos,Río Negro,336,638,previaje 3
2022-11,Entre Ríos,Salta,339,560,previaje 3
2022-11,Entre Ríos,San Juan,73,100,previaje 3
2022-11,Entre Ríos,San Luis,82,158,previaje 3
2022-11,Entre Ríos,Santa Cruz,269,492,previaje 3
2022-11,Entre Ríos,Santa Fe,20,54,previaje 3
2022-11,Entre Ríos,Santiago del Estero,7,19,previaje 3
2022-11,Entre Ríos,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",241,425,previaje 3
2022-11,Entre Ríos,Tucumán,50,85,previaje 3
2022-11,Formosa,Buenos Aires,26,42,previaje 3
2022-11,Formosa,Catamarca,3,11,previaje 3
2022-11,Formosa,Chaco,3,4,previaje 3
2022-11,Formosa,Ciudad Autónoma de Buenos Aires,77,124,previaje 3
2022-11,Formosa,Córdoba,24,49,previaje 3
2022-11,Formosa,Corrientes,7,20,previaje 3
2022-11,Formosa,Entre Ríos,5,10,previaje 3
2022-11,Formosa,Formosa,17,21,previaje 3
2022-11,Formosa,La Rioja,21,31,previaje 3
2022-11,Formosa,Mendoza,5,9,previaje 3
2022-11,Formosa,Misiones,6,8,previaje 3
2022-11,Formosa,Neuquén,6,12,previaje 3
2022-11,Formosa,Río Negro,50,63,previaje 3
2022-11,Formosa,Salta,36,60,previaje 3
2022-11,Formosa,Santa Cruz,37,49,previaje 3
2022-11,Formosa,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",24,41,previaje 3
2022-11,Jujuy,Buenos Aires,105,207,previaje 3
2022-11,Jujuy,Chubut,5,7,previaje 3
2022-11,Jujuy,Ciudad Autónoma de Buenos Aires,270,491,previaje 3
2022-11,Jujuy,Córdoba,86,140,previaje 3
2022-11,Jujuy,Corrientes,6,13,previaje 3
2022-11,Jujuy,Entre Ríos,4,7,previaje 3
2022-11,Jujuy,Jujuy,85,219,previaje 3
2022-11,Jujuy,La Rioja,3,9,previaje 3
2022-11,Jujuy,Mendoza,20,37,previaje 3
2022-11,Jujuy,Misiones,44,69,previaje 3
2022-11,Jujuy,Neuquén,36,44,previaje 3
2022-11,Jujuy,Río Negro,69,124,previaje 3
2022-11,Jujuy,Salta,90,214,previaje 3
2022-11,Jujuy,San Luis,4,5,previaje 3
2022-11,Jujuy,Santa Cruz,21,47,previaje 3
2022-11,Jujuy,Santa Fe,5,10,previaje 3
2022-11,Jujuy,Santiago del Estero,10,25,previaje 3
2022-11,Jujuy,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",28,61,previaje 3
2022-11,Jujuy,Tucumán,19,44,previaje 3
2022-11,La Pampa,Buenos Aires,59,134,previaje 3
2022-11,La Pampa,Catamarca,42,45,previaje 3
2022-11,La Pampa,Chubut,68,119,previaje 3
2022-11,La Pampa,Ciudad Autónoma de Buenos Aires,79,121,previaje 3
2022-11,La Pampa,Córdoba,53,106,previaje 3
2022-11,La Pampa,Corrientes,37,51,previaje 3
2022-11,La Pampa,Entre Ríos,8,14,previaje 3
2022-11,La Pampa,Jujuy,15,24,previaje 3
2022-11,La Pampa,La Pampa,20,39,previaje 3
2022-11,La Pampa,La Rioja,73,75,previaje 3
2022-11,La Pampa,Mendoza,53,113,previaje 3
2022-11,La Pampa,Misiones,51,112,previaje 3
2022-11,La Pampa,Neuquén,52,145,previaje 3
2022-11,La Pampa,Río Negro,82,159,previaje 3
2022-11,La Pampa,Salta,26,50,previaje 3
2022-11,La Pampa,San Juan,5,14,previaje 3
2022-11,La Pampa,San Luis,38,64,previaje 3
2022-11,La Pampa,Santa Cruz,130,203,previaje 3
2022-11,La Pampa,Santiago del Estero,3,6,previaje 3
2022-11,La Pampa,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",96,146,previaje 3
2022-11,La Pampa,Tucumán,5,13,previaje 3
2022-11,La Rioja,Buenos Aires,33,82,previaje 3
2022-11,La Rioja,Catamarca,26,60,previaje 3
2022-11,La Rioja,Ciudad Autónoma de Buenos Aires,97,154,previaje 3
2022-11,La Rioja,Córdoba,60,123,previaje 3
2022-11,La Rioja,Corrientes,5,14,previaje 3
2022-11,La Rioja,Entre Ríos,9,15,previaje 3
2022-11,La Rioja,La Rioja,45,88,previaje 3
2022-11,La Rioja,Mendoza,9,14,previaje 3
2022-11,La Rioja,Misiones,27,55,previaje 3
2022-11,La Rioja,Neuquén,5,8,previaje 3
2022-11,La Rioja,Río Negro,18,24,previaje 3
2022-11,La Rioja,Salta,20,50,previaje 3
2022-11,La Rioja,San Juan,7,16,previaje 3
2022-11,La Rioja,San Luis,7,18,previaje 3
2022-11,La Rioja,Santa Cruz,13,20,previaje 3
2022-11,La Rioja,Santa Fe,3,6,previaje 3
2022-11,La Rioja,Santiago del Estero,3,8,previaje 3
2022-11,La Rioja,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",5,7,previaje 3
2022-11,La Rioja,Tucumán,3,7,previaje 3
2022-11,Mendoza,Buenos Aires,1426,2622,previaje 3
2022-11,Mendoza,Catamarca,6,10,previaje 3
2022-11,Mendoza,Chaco,6,12,previaje 3
2022-11,Mendoza,Chubut,602,810,previaje 3
2022-11,Mendoza,Ciudad Autónoma de Buenos Aires,2340,4438,previaje 3
2022-11,Mendoza,Córdoba,568,1318,previaje 3
2022-11,Mendoza,Corrientes,17,36,previaje 3
2022-11,Mendoza,Entre Ríos,59,101,previaje 3
2022-11,Mendoza,Jujuy,109,200,previaje 3
2022-11,Mendoza,La Rioja,9,28,previaje 3
2022-11,Mendoza,Mendoza,732,1701,previaje 3
2022-11,Mendoza,Misiones,555,982,previaje 3
2022-11,Mendoza,Neuquén,260,689,previaje 3
2022-11,Mendoza,Río Negro,670,1365,previaje 3
2022-11,Mendoza,Salta,537,1003,previaje 3
2022-11,Mendoza,San Juan,26,68,previaje 3
2022-11,Mendoza,San Luis,362,843,previaje 3
2022-11,Mendoza,Santa Cruz,304,521,previaje 3
2022-11,Mendoza,Santa Fe,59,115,previaje 3
2022-11,Mendoza,Santiago del Estero,32,59,previaje 3
2022-11,Mendoza,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",282,441,previaje 3
2022-11,Mendoza,Tucumán,47,79,previaje 3
2022-11,Misiones,Buenos Aires,134,254,previaje 3
2022-11,Misiones,Catamarca,20,28,previaje 3
2022-11,Misiones,Chaco,4,4,previaje 3
2022-11,Misiones,Chubut,25,91,previaje 3
2022-11,Misiones,Ciudad Autónoma de Buenos Aires,316,586,previaje 3
2022-11,Misiones,Córdoba,233,299,previaje 3
2022-11,Misiones,Corrientes,35,85,previaje 3
2022-11,Misiones,Entre Ríos,34,71,previaje 3
2022-11,Misiones,Jujuy,24,42,previaje 3
2022-11,Misiones,La Rioja,23,27,previaje 3
2022-11,Misiones,Mendoza,107,150,previaje 3
2022-11,Misiones,Misiones,144,364,previaje 3
2022-11,Misiones,Neuquén,40,80,previaje 3
2022-11,Misiones,Río Negro,100,189,previaje 3
2022-11,Misiones,Salta,79,148,previaje 3
2022-11,Misiones,San Juan,21,30,previaje 3
2022-11,Misiones,San Luis,18,29,previaje 3
2022-11,Misiones,Santa Cruz,80,120,previaje 3
2022-11,Misiones,Santa Fe,17,31,previaje 3
2022-11,Misiones,Santiago del Estero,14,21,previaje 3
2022-11,Misiones,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",118,159,previaje 3
2022-11,Misiones,Tucumán,13,27,previaje 3
2022-11,Neuquén,Buenos Aires,364,670,previaje 3
2022-11,Neuquén,Chaco,8,10,previaje 3
2022-11,Neuquén,Chubut,84,189,previaje 3
2022-11,Neuquén,Ciudad Autónoma de Buenos Aires,863,1531,previaje 3
2022-11,Neuquén,Córdoba,137,231,previaje 3
2022-11,Neuquén,Corrientes,16,23,previaje 3
2022-11,Neuquén,Entre Ríos,13,26,previaje 3
2022-11,Neuquén,Jujuy,60,105,previaje 3
2022-11,Neuquén,La Pampa,11,18,previaje 3
2022-11,Neuquén,La Rioja,3,4,previaje 3
2022-11,Neuquén,Mendoza,166,273,previaje 3
2022-11,Neuquén,Misiones,137,246,previaje 3
2022-11,Neuquén,Neuquén,299,806,previaje 3
2022-11,Neuquén,Río Negro,190,499,previaje 3
2022-11,Neuquén,Salta,225,425,previaje 3
2022-11,Neuquén,San Luis,15,24,previaje 3
2022-11,Neuquén,Santa Cruz,60,113,previaje 3
2022-11,Neuquén,Santa Fe,24,44,previaje 3
2022-11,Neuquén,Santiago del Estero,6,11,previaje 3
2022-11,Neuquén,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",77,176,previaje 3
2022-11,Neuquén,Tucumán,11,23,previaje 3
2022-11,Río Negro,Buenos Aires,481,867,previaje 3
2022-11,Río Negro,Catamarca,6,8,previaje 3
2022-11,Río Negro,Chubut,163,319,previaje 3
2022-11,Río Negro,Ciudad Autónoma de Buenos Aires,821,1384,previaje 3
2022-11,Río Negro,Córdoba,188,314,previaje 3
2022-11,Río Negro,Corrientes,14,27,previaje 3
2022-11,Río Negro,Entre Ríos,31,63,previaje 3
2022-11,Río Negro,Formosa,3,5,previaje 3
2022-11,Río Negro,Jujuy,40,83,previaje 3
2022-11,Río Negro,La Pampa,8,14,previaje 3
2022-11,Río Negro,Mendoza,171,300,previaje 3
2022-11,Río Negro,Misiones,132,255,previaje 3
2022-11,Río Negro,Neuquén,262,712,previaje 3
2022-11,Río Negro,Río Negro,348,863,previaje 3
2022-11,Río Negro,Salta,174,321,previaje 3
2022-11,Río Negro,San Juan,10,19,previaje 3
2022-11,Río Negro,San Luis,32,59,previaje 3
2022-11,Río Negro,Santa Cruz,104,220,previaje 3
2022-11,Río Negro,Santa Fe,35,50,previaje 3
2022-11,Río Negro,Santiago del Estero,10,17,previaje 3
2022-11,Río Negro,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",78,138,previaje 3
2022-11,Río Negro,Tucumán,21,43,previaje 3
2022-11,Salta,Buenos Aires,380,686,previaje 3
2022-11,Salta,Catamarca,12,14,previaje 3
2022-11,Salta,Chubut,50,82,previaje 3
2022-11,Salta,Ciudad Autónoma de Buenos Aires,810,1489,previaje 3
2022-11,Salta,Córdoba,133,234,previaje 3
2022-11,Salta,Corrientes,18,47,previaje 3
2022-11,Salta,Entre Ríos,16,22,previaje 3
2022-11,Salta,Jujuy,168,402,previaje 3
2022-11,Salta,La Rioja,4,10,previaje 3
2022-11,Salta,Mendoza,100,215,previaje 3
2022-11,Salta,Misiones,81,183,previaje 3
2022-11,Salta,Neuquén,70,132,previaje 3
2022-11,Salta,Río Negro,154,273,previaje 3
2022-11,Salta,Salta,335,821,previaje 3
2022-11,Salta,San Juan,4,7,previaje 3
2022-11,Salta,San Luis,44,63,previaje 3
2022-11,Salta,Santa Cruz,55,108,previaje 3
2022-11,Salta,Santa Fe,21,42,previaje 3
2022-11,Salta,Santiago del Estero,36,100,previaje 3
2022-11,Salta,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",48,85,previaje 3
2022-11,Salta,Tucumán,52,108,previaje 3
2022-11,San Juan,Buenos Aires,337,610,previaje 3
2022-11,San Juan,Catamarca,10,28,previaje 3
2022-11,San Juan,Chubut,23,48,previaje 3
2022-11,San Juan,Ciudad Autónoma de Buenos Aires,499,943,previaje 3
2022-11,San Juan,Córdoba,146,293,previaje 3
2022-11,San Juan,Corrientes,7,11,previaje 3
2022-11,San Juan,Entre Ríos,9,17,previaje 3
2022-11,San Juan,Jujuy,11,19,previaje 3
2022-11,San Juan,La Rioja,44,74,previaje 3
2022-11,San Juan,Mendoza,61,132,previaje 3
2022-11,San Juan,Misiones,98,171,previaje 3
2022-11,San Juan,Neuquén,50,129,previaje 3
2022-11,San Juan,Río Negro,101,228,previaje 3
2022-11,San Juan,Salta,88,161,previaje 3
2022-11,San Juan,San Juan,81,179,previaje 3
2022-11,San Juan,San Luis,79,165,previaje 3
2022-11,San Juan,Santa Cruz,54,78,previaje 3
2022-11,San Juan,Santa Fe,7,12,previaje 3
2022-11,San Juan,Santiago del Estero,6,14,previaje 3
2022-11,San Juan,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",75,112,previaje 3
2022-11,San Juan,Tucumán,4,13,previaje 3
2022-11,San Luis,Buenos Aires,105,217,previaje 3
2022-11,San Luis,Chubut,31,55,previaje 3
2022-11,San Luis,Ciudad Autónoma de Buenos Aires,155,292,previaje 3
2022-11,San Luis,Córdoba,108,195,previaje 3
2022-11,San Luis,Corrientes,6,10,previaje 3
2022-11,San Luis,Entre Ríos,17,29,previaje 3
2022-11,San Luis,Jujuy,7,13,previaje 3
2022-11,San Luis,La Pampa,4,8,previaje 3
2022-11,San Luis,La Rioja,4,7,previaje 3
2022-11,San Luis,Mendoza,52,144,previaje 3
2022-11,San Luis,Misiones,69,127,previaje 3
2022-11,San Luis,Neuquén,19,39,previaje 3
2022-11,San Luis,Río Negro,55,111,previaje 3
2022-11,San Luis,Salta,46,70,previaje 3
2022-11,San Luis,San Juan,4,6,previaje 3
2022-11,San Luis,San Luis,47,117,previaje 3
2022-11,San Luis,Santa Cruz,24,46,previaje 3
2022-11,San Luis,Santa Fe,9,19,previaje 3
2022-11,San Luis,Santiago del Estero,6,8,previaje 3
2022-11,San Luis,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",32,58,previaje 3
2022-11,San Luis,Tucumán,9,19,previaje 3
2022-11,Santa Cruz,Buenos Aires,121,188,previaje 3
2022-11,Santa Cruz,Chubut,35,84,previaje 3
2022-11,Santa Cruz,Ciudad Autónoma de Buenos Aires,269,425,previaje 3
