mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Ciudad Autónoma de Buenos Aires,Corrientes,414,806,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Entre Ríos,969,2148,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Formosa,50,81,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Jujuy,1825,3667,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,La Pampa,59,101,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,La Rioja,403,792,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Mendoza,3162,6303,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Misiones,3617,9004,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Neuquén,1307,2628,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Río Negro,3339,7074,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Salta,3193,6728,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,San Juan,421,785,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,San Luis,476,931,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Santa Cruz,2764,5724,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Santa Fe,376,697,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Santiago del Estero,384,737,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2163,4388,previaje 3
2022-10,Ciudad Autónoma de Buenos Aires,Tucumán,754,1359,previaje 3
2022-10,Córdoba,Buenos Aires,1042,2019,previaje 3
2022-10,Córdoba,Catamarca,222,346,previaje 3
2022-10,Córdoba,Chaco,23,34,previaje 3
2022-10,Córdoba,Chubut,1834,3175,previaje 3
2022-10,Córdoba,Ciudad Autónoma de Buenos Aires,3305,6201,previaje 3
2022-10,Córdoba,Córdoba,1578,4055,previaje 3
2022-10,Córdoba,Corrientes,122,237,previaje 3
2022-10,Córdoba,Entre Ríos,183,432,previaje 3
2022-10,Córdoba,Formosa,10,13,previaje 3
2022-10,Córdoba,Jujuy,438,852,previaje 3
2022-10,Córdoba,La Pampa,21,45,previaje 3
2022-10,Córdoba,La Rioja,259,500,previaje 3
2022-10,Córdoba,Mendoza,1180,2153,previaje 3
2022-10,Córdoba,Misiones,1189,2499,previaje 3
2022-10,Córdoba,Neuquén,421,887,previaje 3
2022-10,Córdoba,Río Negro,1812,3442,previaje 3
2022-10,Córdoba,Salta,965,1840,previaje 3
2022-10,Córdoba,San Juan,92,197,previaje 3
2022-10,Córdoba,San Luis,303,642,previaje 3
2022-10,Córdoba,Santa Cruz,1284,2396,previaje 3
2022-10,Córdoba,Santa Fe,124,230,previaje 3
2022-10,Córdoba,Santiago del Estero,483,1022,previaje 3
2022-10,Córdoba,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1009,1731,previaje 3
2022-10,Córdoba,Tucumán,170,353,previaje 3
2022-10,Corrientes,Buenos Aires,130,271,previaje 3
2022-10,Corrientes,Catamarca,7,14,previaje 3
2022-10,Corrientes,Chaco,4,8,previaje 3
2022-10,Corrientes,Chubut,55,98,previaje 3
2022-10,Corrientes,Ciudad Autónoma de Buenos Aires,414,698,previaje 3
2022-10,Corrientes,Córdoba,88,125,previaje 3
2022-10,Corrientes,Corrientes,66,152,previaje 3
2022-10,Corrientes,Entre Ríos,23,63,previaje 3
2022-10,Corrientes,Jujuy,29,79,previaje 3
2022-10,Corrientes,La Rioja,9,12,previaje 3
2022-10,Corrientes,Mendoza,61,138,previaje 3
2022-10,Corrientes,Misiones,35,81,previaje 3
2022-10,Corrientes,Neuquén,24,47,previaje 3
2022-10,Corrientes,Río Negro,69,168,previaje 3
2022-10,Corrientes,Salta,65,146,previaje 3
2022-10,Corrientes,San Juan,6,19,previaje 3
2022-10,Corrientes,San Luis,24,25,previaje 3
2022-10,Corrientes,Santa Cruz,35,56,previaje 3
